IAS (mph),IAS (fps),IAS (fpm),Sink rate (fps) (graph),Sink rate (fpm),Sink rate (kts),L/D ratio (graph),L/D ratio (calculated),Notes
28,41.1,2464,0,0,0,,15.2,Stall speed (not graphable)
35,51.3,3080,2.7,162,1.6,19:1,19,
36,52.8,3168,2.6,156,1.5,20:1,20.3,Possible error
38,55.7,3344,2.6,156,1.5,20.8:1,21.4,Min Sink
39,57.2,3432,2.7,162,1.6,21:1,21.2,Possible error
41,60.1,3608,2.8,168,1.7,22:1,21.5,
48,70.4,4224,3.1,186,1.8,23:1,22.7,Best Glide
56,82.1,4928,3.7,222,2.2,22:1,22.2,
61,89.5,5368,4.2,252,2.5,21:1,21.3,
65,95.3,5720,4.8,288,2.8,20:1,19.9,
69,101.2,6072,5.4,324,3.2,19:1,18.7,
73,107.1,6424,6,360,3.6,18:1,17.9,
77,112.9,6776,6.7,402,4,17:1,16.9,
80,117.3,7040,7.3,438,4.3,16:1,16.1,
85,124.7,7480,8.3,498,4.9,15:1,15,
90,132,7920,9.5,570,5.6,14:1,13.9,Sink rate projected
104,152.5,9152,,,,,,Vne
