IAS (mph),IAS (fps),IAS (fpm),Sink rate (fps) (graph),Sink rate (fpm),Sink rate (kts),L/D ratio (graph),L/D ratio (calculated),Notes
28,41.1,2464,0,0,0,,12.8,Stall speed (not graphable)
33,48.4,2904,3.2,192,1.9,16:1,15.1,Possible error
35,51.3,3080,2.9,174,1.7,17:1,17.7,
36,52.8,3168,2.9,174,1.7,18:1,18.2,
38,55.7,3344,2.9,174,1.7,19:1,19.2,
40,58.7,3520,2.9,174,1.7,20:1,20.2,Min Sink (as published)
42.5,62.3,3740,2.9,174,1.7,21:1,21.5,
45.5,66.7,4004,3,180,1.8,22:1,22.2,
54,79.2,4752,3.4,204,2,23:1,23.3,Best Glide (as graphed; 53 mph as published)
62,90.9,5456,4.2,252,2.5,22:1,21.6,
67,98.3,5896,4.6,276,2.7,21:1,21.4,
71.5,104.9,6292,5.2,312,3.1,20:1,20.2,
76,111.5,6688,5.7,342,3.4,19:1,19.6,
80.5,118.1,7084,6.6,396,3.9,18:1,17.9,
85,124.7,7480,7.4,444,4.4,17:1,16.9,
89,130.5,7832,8.3,498,4.9,16:1,15.7,
94,137.9,8272,9.3,558,5.5,15:1,14.8,Sink rate projected
104,152.5,9152,,,,,,Vne
