IAS (mph),IAS (fps),IAS (fpm),Sink rate (fps) (graph),Sink rate (fpm),Sink rate (kts),L/D ratio (graph),L/D ratio (calculated),Notes
38,55.7,3344,0,0,0,0:1,,Stall speed (not graphable)
39.5,57.9,3476,3.2,192,1.9,24:1,18.1,Sink rate estimated
41,60.1,3608,2.9,174,1.7,25:1,20.7,
42,61.6,3696,2.8,168,1.7,26:1,22,
43,63.1,3784,2.7,162,1.6,27:1,23.4,
44.5,65.3,3916,2.6,156,1.5,28:1,25.1,
46.7,68.5,4109.6,2.5,150,1.5,29:1,27.4,
47,68.9,4136,2.45,147,1.5,30:1,28.1,
49,71.9,4312,2.4,144,1.4,31:1,30,Min Sink
51,74.8,4488,2.45,147,1.5,32:1,30.5,
55.5,81.4,4884,2.6,156,1.5,33:1,31.3,Best Glide
62,90.9,5456,3.1,186,1.8,32:1,29.3,
65,95.3,5720,3.4,204,2,31:1,28,
68,99.7,5984,3.7,222,2.2,30:1,26.9,
70.5,103.4,6204,4,240,2.4,29:1,25.9,
72.5,106.3,6380,4.2,252,2.5,28:1,25.3,
74.5,109.3,6556,4.5,270,2.7,27:1,24.3,
76.5,112.2,6732,4.7,282,2.8,26:1,23.9,
78,114.4,6864,4.9,294,2.9,25:1,23.3,
80,117.3,7040,5.2,312,3.1,24:1,22.6,
81.5,119.5,7172,5.5,330,3.3,23:1,21.7,
83.5,122.5,7348,5.8,348,3.4,22:1,21.1,
85.5,125.4,7524,6.15,369,3.6,21:1,20.4,
87,127.6,7656,6.4,384,3.8,20:1,19.9,
88,129.1,7744,6.8,408,4,19:1,19,
90.5,132.7,7964,7.1,426,4.2,18:1,18.7,
132,193.6,11616,,,,,,Vne *at 840 lbs. dive brakes open/closed
135,198,11880,,,,,,Vne *at 800 lbs. dive brakes closed
142,208.3,12496,,,,,,Vne *at 800 lbs. dive brakes open
