IAS (mph),IAS (fps),IAS (fpm),Sink rate (fps) (graph),Sink rate (fpm),Sink rate (kts),L/D ratio (graph),L/D ratio (calculated),Notes
31,45.5,2728,0,0,0,0:1,0,Stall speed (not graphable)
33,48.4,2904,2.9,174,1.7,17:1,16.7,
34,49.9,2992,2.8,168,1.7,18:1,17.8,
35,51.3,3080,2.7,162,1.6,19:1,19,
37,54.3,3256,2.6,156,1.5,20:1,20.9,
38,55.7,3344,2.6,156,1.5,20.7:1,21.4,Min Sink
39,57.2,3432,2.7,162,1.6,21:1,21.2,
43,63.1,3784,2.9,174,1.7,22:1,21.8,
45,66,3960,2.8,168,1.7,23:1,23.6,Best Glide (graph indicates 22.3:1 at 46 mph)
49,71.9,4312,3.4,204,2,22:1,21.1,
52,76.3,4576,3.7,222,2.2,21:1,20.6,
55,80.7,4840,4,240,2.4,20:1,20.2,
58,85.1,5104,4.5,270,2.7,19:1,18.9,Approximate maneuvering speed *if at 790 lbs gross (1% reduction in Va for every 2% decrease in weight from max gross of 1040 lbs)
61,89.5,5368,5,300,3,18:1,17.9,
64,93.9,5632,5.5,330,3.3,17:1,17.1,
67,98.3,5896,6.1,366,3.6,16:1,16.1,
70,102.7,6160,6.8,408,4,15:1,15.1,
73,107.1,6424,7.6,456,4.5,14:1,14.1,
76,111.5,6688,8.5,510,5,13:1,13.1,Estimated L/D
79,115.9,6952,9.5,570,5.6,12:1,12.2,Estimated L/D
98,143.7,8624,,,,,,Vne
