IAS (mph),IAS (fps),IAS (fpm),Sink rate (fps) (graph),Sink rate (fpm),Sink rate (kts),L/D ratio (graph),L/D ratio (calculated),Notes
34,49.9,2992,0,0,0,0:1,0,Stall speed (not graphable)
37,54.3,3256,3.4,204,2,16:1,16,
38,55.7,3344,3.3,198,2,17:1,16.9,
40,58.7,3520,3.2,192,1.9,18:1,18.3,
41,60.1,3608,3.1,186,1.8,19:1,19.4,
42,61.6,3696,3.1,186,1.8,20:1,19.9,Min Sink
44,64.5,3872,3.1,186,1.8,21:1,20.8,
49,71.9,4312,3.2,192,1.9,22:1,22.5,Possible error
50,73.3,4400,3.3,198,2,23:1,22.2,Best Glide (graph indicates 22.3:1 at 46 mph)
56,82.1,4928,3.7,222,2.2,22:1,22.2,
60,88,5280,4.2,252,2.5,21:1,21,
63,92.4,5544,4.6,276,2.7,20:1,20.1,
67,98.3,5896,5.2,312,3.1,19:1,18.9,Approximate maneuvering speed *if at 1040 lbs gross
70,102.7,6160,5.6,336,3.3,18:1,18.3,
73,107.1,6424,6.3,378,3.7,17:1,17,
77,112.9,6776,7,420,4.1,16:1,16.1,
80,117.3,7040,7.7,462,4.6,15:1,15.2,
84,123.2,7392,8.8,528,5.2,14:1,14,
88,129.1,7744,10,600,5.9,13:1,12.9,"Estimated L/D, sink rate"
98,143.7,8624,,,,,,Vne
